"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"24.03.2019 20:00 - 24.03.2019 20:15","54187","54750"
"24.03.2019 20:15 - 24.03.2019 20:30","53286","53458"
"24.03.2019 20:30 - 24.03.2019 20:45","52566","52634"
"24.03.2019 20:45 - 24.03.2019 21:00","52343","51751"
"24.03.2019 21:00 - 24.03.2019 21:15","51213","51089"
"24.03.2019 21:15 - 24.03.2019 21:30","51005","50612"
"24.03.2019 21:30 - 24.03.2019 21:45","51494","50464"
"24.03.2019 21:45 - 24.03.2019 22:00","51142","50353"
"24.03.2019 22:00 - 24.03.2019 22:15","51676","51163"
"24.03.2019 22:15 - 24.03.2019 22:30","51246","50868"
"24.03.2019 22:30 - 24.03.2019 22:45","50598","50158"
"24.03.2019 22:45 - 24.03.2019 23:00","49729","49385"
"24.03.2019 23:00 - 24.03.2019 23:15","48687","48425"
"24.03.2019 23:15 - 24.03.2019 23:30","47926","48092"
"24.03.2019 23:30 - 24.03.2019 23:45","47297","47235"
"24.03.2019 23:45 - 25.03.2019 00:00","46707","46508"
"25.03.2019 00:00 - 25.03.2019 00:15","47054","45905"
"25.03.2019 00:15 - 25.03.2019 00:30","46584","45408"
"25.03.2019 00:30 - 25.03.2019 00:45","46165","44865"
"25.03.2019 00:45 - 25.03.2019 01:00","45773","44335"
"25.03.2019 01:00 - 25.03.2019 01:15","45322","44204"
"25.03.2019 01:15 - 25.03.2019 01:30","44943","43912"
"25.03.2019 01:30 - 25.03.2019 01:45","44752","43695"
"25.03.2019 01:45 - 25.03.2019 02:00","44492","43504"
"25.03.2019 02:00 - 25.03.2019 02:15","44286","43277"
"25.03.2019 02:15 - 25.03.2019 02:30","44294","43782"
"25.03.2019 02:30 - 25.03.2019 02:45","44246","43834"
"25.03.2019 02:45 - 25.03.2019 03:00","44466","43691"
"25.03.2019 03:00 - 25.03.2019 03:15","44655","43936"
"25.03.2019 03:15 - 25.03.2019 03:30","44795","43698"
"25.03.2019 03:30 - 25.03.2019 03:45","44846","44213"
"25.03.2019 03:45 - 25.03.2019 04:00","45162","44394"
"25.03.2019 04:00 - 25.03.2019 04:15","45754","45198"
"25.03.2019 04:15 - 25.03.2019 04:30","46187","45893"
"25.03.2019 04:30 - 25.03.2019 04:45","46899","46892"
"25.03.2019 04:45 - 25.03.2019 05:00","47521","47609"
"25.03.2019 05:00 - 25.03.2019 05:15","48916","48537"
"25.03.2019 05:15 - 25.03.2019 05:30","49615","49400"
"25.03.2019 05:30 - 25.03.2019 05:45","50937","51038"
"25.03.2019 05:45 - 25.03.2019 06:00","52695","52771"
"25.03.2019 06:00 - 25.03.2019 06:15","55565","55276"
"25.03.2019 06:15 - 25.03.2019 06:30","57922","57020"
"25.03.2019 06:30 - 25.03.2019 06:45","59461","58629"
"25.03.2019 06:45 - 25.03.2019 07:00","60835","59526"
"25.03.2019 07:00 - 25.03.2019 07:15","62505","61517"
"25.03.2019 07:15 - 25.03.2019 07:30","63613","62666"
"25.03.2019 07:30 - 25.03.2019 07:45","64482","63767"
"25.03.2019 07:45 - 25.03.2019 08:00","65571","64704"
"25.03.2019 08:00 - 25.03.2019 08:15","66244","66289"
"25.03.2019 08:15 - 25.03.2019 08:30","66634","67392"
"25.03.2019 08:30 - 25.03.2019 08:45","67071","67932"
"25.03.2019 08:45 - 25.03.2019 09:00","67327","68012"
"25.03.2019 09:00 - 25.03.2019 09:15","66992","67158"
"25.03.2019 09:15 - 25.03.2019 09:30","67323","67532"
"25.03.2019 09:30 - 25.03.2019 09:45","67703","68739"
"25.03.2019 09:45 - 25.03.2019 10:00","67793","68709"
"25.03.2019 10:00 - 25.03.2019 10:15","68074","69226"
"25.03.2019 10:15 - 25.03.2019 10:30","68583","69444"
"25.03.2019 10:30 - 25.03.2019 10:45","68872","69667"
"25.03.2019 10:45 - 25.03.2019 11:00","69284","69821"
"25.03.2019 11:00 - 25.03.2019 11:15","69565","70566"
"25.03.2019 11:15 - 25.03.2019 11:30","69935","71011"
"25.03.2019 11:30 - 25.03.2019 11:45","70225","70564"
"25.03.2019 11:45 - 25.03.2019 12:00","70453","70465"
"25.03.2019 12:00 - 25.03.2019 12:15","69818","69838"
"25.03.2019 12:15 - 25.03.2019 12:30","69763","69962"
"25.03.2019 12:30 - 25.03.2019 12:45","69609","70468"
"25.03.2019 12:45 - 25.03.2019 13:00","69792","70441"
"25.03.2019 13:00 - 25.03.2019 13:15","69452","70079"
"25.03.2019 13:15 - 25.03.2019 13:30","69026","70722"
"25.03.2019 13:30 - 25.03.2019 13:45","68521","69863"
"25.03.2019 13:45 - 25.03.2019 14:00","67900","68460"
"25.03.2019 14:00 - 25.03.2019 14:15","67498","68261"
"25.03.2019 14:15 - 25.03.2019 14:30","67203","69506"
"25.03.2019 14:30 - 25.03.2019 14:45","66933","69162"
"25.03.2019 14:45 - 25.03.2019 15:00","66766","68289"
"25.03.2019 15:00 - 25.03.2019 15:15","65788","68476"
"25.03.2019 15:15 - 25.03.2019 15:30","66776","68504"
"25.03.2019 15:30 - 25.03.2019 15:45","66585","68247"
"25.03.2019 15:45 - 25.03.2019 16:00","66095","67243"
"25.03.2019 16:00 - 25.03.2019 16:15","65770","67194"
"25.03.2019 16:15 - 25.03.2019 16:30","64929","66341"
"25.03.2019 16:30 - 25.03.2019 16:45","62936","66301"
"25.03.2019 16:45 - 25.03.2019 17:00","62873","65856"
"25.03.2019 17:00 - 25.03.2019 17:15","63049","65490"
"25.03.2019 17:15 - 25.03.2019 17:30","63275","65270"
"25.03.2019 17:30 - 25.03.2019 17:45","63457","65760"
"25.03.2019 17:45 - 25.03.2019 18:00","63650","65317"
"25.03.2019 18:00 - 25.03.2019 18:15","63807","65413"
"25.03.2019 18:15 - 25.03.2019 18:30","64349","65769"
"25.03.2019 18:30 - 25.03.2019 18:45","65131","66892"
"25.03.2019 18:45 - 25.03.2019 19:00","66071","67676"
"25.03.2019 19:00 - 25.03.2019 19:15","66428","68521"
"25.03.2019 19:15 - 25.03.2019 19:30","66097","68809"
"25.03.2019 19:30 - 25.03.2019 19:45","65786","68904"
"25.03.2019 19:45 - 25.03.2019 20:00","65580","68036"
"25.03.2019 20:00 - 25.03.2019 20:15","65048","67249"
"25.03.2019 20:15 - 25.03.2019 20:30","64445","65825"
"25.03.2019 20:30 - 25.03.2019 20:45","63656","64312"
"25.03.2019 20:45 - 25.03.2019 21:00","62870","63346"
"25.03.2019 21:00 - 25.03.2019 21:15","61622","62085"
"25.03.2019 21:15 - 25.03.2019 21:30","61125","61279"
"25.03.2019 21:30 - 25.03.2019 21:45","60713","60423"
"25.03.2019 21:45 - 25.03.2019 22:00","59432","59488"
"25.03.2019 22:00 - 25.03.2019 22:15","59308","59655"
"25.03.2019 22:15 - 25.03.2019 22:30","58498","58807"
"25.03.2019 22:30 - 25.03.2019 22:45","57365","57517"
"25.03.2019 22:45 - 25.03.2019 23:00","56290","56505"
"25.03.2019 23:00 - 25.03.2019 23:15","54959","54571"
"25.03.2019 23:15 - 25.03.2019 23:30","53968","53419"
"25.03.2019 23:30 - 25.03.2019 23:45","53025","52722"
"25.03.2019 23:45 - 26.03.2019 00:00","52255","52250"
"26.03.2019 00:00 - 26.03.2019 00:15","50240","52187"
"26.03.2019 00:15 - 26.03.2019 00:30","49528","51430"
"26.03.2019 00:30 - 26.03.2019 00:45","48957","50919"
"26.03.2019 00:45 - 26.03.2019 01:00","48452","50588"
"26.03.2019 01:00 - 26.03.2019 01:15","47963","49951"
"26.03.2019 01:15 - 26.03.2019 01:30","47616","49592"
"26.03.2019 01:30 - 26.03.2019 01:45","47295","49381"
"26.03.2019 01:45 - 26.03.2019 02:00","47158","49142"
"26.03.2019 02:00 - 26.03.2019 02:15","46784","49214"
"26.03.2019 02:15 - 26.03.2019 02:30","46706","49301"
"26.03.2019 02:30 - 26.03.2019 02:45","46684","49121"
"26.03.2019 02:45 - 26.03.2019 03:00","46727","49125"
"26.03.2019 03:00 - 26.03.2019 03:15","46729","48806"
"26.03.2019 03:15 - 26.03.2019 03:30","46920","48822"
"26.03.2019 03:30 - 26.03.2019 03:45","47186","49029"
"26.03.2019 03:45 - 26.03.2019 04:00","47411","49163"
"26.03.2019 04:00 - 26.03.2019 04:15","47799","49442"
"26.03.2019 04:15 - 26.03.2019 04:30","48265","49885"
"26.03.2019 04:30 - 26.03.2019 04:45","48782","50393"
"26.03.2019 04:45 - 26.03.2019 05:00","49254","50727"
"26.03.2019 05:00 - 26.03.2019 05:15","50392","51839"
"26.03.2019 05:15 - 26.03.2019 05:30","51128","52482"
"26.03.2019 05:30 - 26.03.2019 05:45","52350","53637"
"26.03.2019 05:45 - 26.03.2019 06:00","53779","55007"
"26.03.2019 06:00 - 26.03.2019 06:15","56346","57220"
"26.03.2019 06:15 - 26.03.2019 06:30","58238","59380"
"26.03.2019 06:30 - 26.03.2019 06:45","59692","61126"
"26.03.2019 06:45 - 26.03.2019 07:00","60947","62603"
"26.03.2019 07:00 - 26.03.2019 07:15","62436","64201"
"26.03.2019 07:15 - 26.03.2019 07:30","63327","65090"
"26.03.2019 07:30 - 26.03.2019 07:45","64334","66326"
"26.03.2019 07:45 - 26.03.2019 08:00","65119","67149"
"26.03.2019 08:00 - 26.03.2019 08:15","65563","67629"
"26.03.2019 08:15 - 26.03.2019 08:30","66011","68191"
"26.03.2019 08:30 - 26.03.2019 08:45","66352","68761"
"26.03.2019 08:45 - 26.03.2019 09:00","66445","68358"
"26.03.2019 09:00 - 26.03.2019 09:15","66104","67583"
"26.03.2019 09:15 - 26.03.2019 09:30","66422","67638"
"26.03.2019 09:30 - 26.03.2019 09:45","66635","47259"
"26.03.2019 09:45 - 26.03.2019 10:00","67046","68235"
"26.03.2019 10:00 - 26.03.2019 10:15","67358","68963"
"26.03.2019 10:15 - 26.03.2019 10:30","67846","69516"
"26.03.2019 10:30 - 26.03.2019 10:45","68104","69672"
"26.03.2019 10:45 - 26.03.2019 11:00","68373","69770"
"26.03.2019 11:00 - 26.03.2019 11:15","68620","70539"
"26.03.2019 11:15 - 26.03.2019 11:30","68959","71107"
"26.03.2019 11:30 - 26.03.2019 11:45","69061","71263"
"26.03.2019 11:45 - 26.03.2019 12:00","68670","70384"
"26.03.2019 12:00 - 26.03.2019 12:15","68486","70015"
"26.03.2019 12:15 - 26.03.2019 12:30","68611","69549"
"26.03.2019 12:30 - 26.03.2019 12:45","68317","69224"
"26.03.2019 12:45 - 26.03.2019 13:00","68634","68987"
"26.03.2019 13:00 - 26.03.2019 13:15","68251","69385"
"26.03.2019 13:15 - 26.03.2019 13:30","67845","68828"
"26.03.2019 13:30 - 26.03.2019 13:45","67325","68648"
"26.03.2019 13:45 - 26.03.2019 14:00","66731","67536"
"26.03.2019 14:00 - 26.03.2019 14:15","66437","67644"
"26.03.2019 14:15 - 26.03.2019 14:30","65997","67633"
"26.03.2019 14:30 - 26.03.2019 14:45","66022","67762"
"26.03.2019 14:45 - 26.03.2019 15:00","66216","67849"
"26.03.2019 15:00 - 26.03.2019 15:15","66347","67847"
"26.03.2019 15:15 - 26.03.2019 15:30","65541","66627"
"26.03.2019 15:30 - 26.03.2019 15:45","65137","66492"
"26.03.2019 15:45 - 26.03.2019 16:00","64694","65990"
"26.03.2019 16:00 - 26.03.2019 16:15","64498","66281"
"26.03.2019 16:15 - 26.03.2019 16:30","64520","65767"
"26.03.2019 16:30 - 26.03.2019 16:45","64302","65633"
"26.03.2019 16:45 - 26.03.2019 17:00","63804","65226"
"26.03.2019 17:00 - 26.03.2019 17:15","63878","65393"
"26.03.2019 17:15 - 26.03.2019 17:30","64094","65325"
"26.03.2019 17:30 - 26.03.2019 17:45","64542","65292"
"26.03.2019 17:45 - 26.03.2019 18:00","64504","65427"
"26.03.2019 18:00 - 26.03.2019 18:15","64416","65954"
"26.03.2019 18:15 - 26.03.2019 18:30","64897","66232"
"26.03.2019 18:30 - 26.03.2019 18:45","65223","66643"
"26.03.2019 18:45 - 26.03.2019 19:00","65872","67474"
"26.03.2019 19:00 - 26.03.2019 19:15","65980","68438"
"26.03.2019 19:15 - 26.03.2019 19:30","65669","68189"
"26.03.2019 19:30 - 26.03.2019 19:45","65312","67868"
"26.03.2019 19:45 - 26.03.2019 20:00","65159","67245"
"26.03.2019 20:00 - 26.03.2019 20:15","64464","66414"
"26.03.2019 20:15 - 26.03.2019 20:30","63191","65353"
"26.03.2019 20:30 - 26.03.2019 20:45","62668","64132"
"26.03.2019 20:45 - 26.03.2019 21:00","61848","63201"
"26.03.2019 21:00 - 26.03.2019 21:15","60781","62387"
"26.03.2019 21:15 - 26.03.2019 21:30","59982","61534"
"26.03.2019 21:30 - 26.03.2019 21:45","59284","60667"
"26.03.2019 21:45 - 26.03.2019 22:00","58499","59651"
"26.03.2019 22:00 - 26.03.2019 22:15","58325","59037"
"26.03.2019 22:15 - 26.03.2019 22:30","57591","58146"
"26.03.2019 22:30 - 26.03.2019 22:45","56528","57163"
"26.03.2019 22:45 - 26.03.2019 23:00","55214","56109"
"26.03.2019 23:00 - 26.03.2019 23:15","54036","54904"
"26.03.2019 23:15 - 26.03.2019 23:30","52970","53797"
"26.03.2019 23:30 - 26.03.2019 23:45","52130","53094"
"26.03.2019 23:45 - 27.03.2019 00:00","51327","52546"
"27.03.2019 00:00 - 27.03.2019 00:15","49340","51451"
"27.03.2019 00:15 - 27.03.2019 00:30","48738","50449"
"27.03.2019 00:30 - 27.03.2019 00:45","48250","49838"
"27.03.2019 00:45 - 27.03.2019 01:00","47767","49238"
"27.03.2019 01:00 - 27.03.2019 01:15","47173","48824"
"27.03.2019 01:15 - 27.03.2019 01:30","46871","48177"
"27.03.2019 01:30 - 27.03.2019 01:45","46551","47992"
"27.03.2019 01:45 - 27.03.2019 02:00","46296","47764"
"27.03.2019 02:00 - 27.03.2019 02:15","46067","47528"
"27.03.2019 02:15 - 27.03.2019 02:30","45996","47478"
"27.03.2019 02:30 - 27.03.2019 02:45","45983","47518"
"27.03.2019 02:45 - 27.03.2019 03:00","46123","47586"
"27.03.2019 03:00 - 27.03.2019 03:15","46208","47645"
"27.03.2019 03:15 - 27.03.2019 03:30","46460","47906"
"27.03.2019 03:30 - 27.03.2019 03:45","46600","48152"
"27.03.2019 03:45 - 27.03.2019 04:00","46793","48127"
"27.03.2019 04:00 - 27.03.2019 04:15","47220","48158"
"27.03.2019 04:15 - 27.03.2019 04:30","47613","48550"
"27.03.2019 04:30 - 27.03.2019 04:45","48170","49197"
"27.03.2019 04:45 - 27.03.2019 05:00","48812","49680"
"27.03.2019 05:00 - 27.03.2019 05:15","49954","51224"
"27.03.2019 05:15 - 27.03.2019 05:30","50661","52087"
"27.03.2019 05:30 - 27.03.2019 05:45","51808","53097"
"27.03.2019 05:45 - 27.03.2019 06:00","53239","54786"
"27.03.2019 06:00 - 27.03.2019 06:15","55841","57427"
"27.03.2019 06:15 - 27.03.2019 06:30","58000","59267"
"27.03.2019 06:30 - 27.03.2019 06:45","59388","60863"
"27.03.2019 06:45 - 27.03.2019 07:00","60859","62280"
"27.03.2019 07:00 - 27.03.2019 07:15","62185","63827"
"27.03.2019 07:15 - 27.03.2019 07:30","62946","64906"
"27.03.2019 07:30 - 27.03.2019 07:45","63640","65638"
"27.03.2019 07:45 - 27.03.2019 08:00","64405","66389"
"27.03.2019 08:00 - 27.03.2019 08:15","65129","67207"
"27.03.2019 08:15 - 27.03.2019 08:30","65478","68150"
"27.03.2019 08:30 - 27.03.2019 08:45","65729","68122"
"27.03.2019 08:45 - 27.03.2019 09:00","66052","68063"
"27.03.2019 09:00 - 27.03.2019 09:15","65768","67755"
"27.03.2019 09:15 - 27.03.2019 09:30","65957","68108"
"27.03.2019 09:30 - 27.03.2019 09:45","66432","68365"
"27.03.2019 09:45 - 27.03.2019 10:00","66913","68626"
"27.03.2019 10:00 - 27.03.2019 10:15","67106","68614"
"27.03.2019 10:15 - 27.03.2019 10:30","67313","68807"
"27.03.2019 10:30 - 27.03.2019 10:45","67356","69142"
"27.03.2019 10:45 - 27.03.2019 11:00","67526","69654"
"27.03.2019 11:00 - 27.03.2019 11:15","67807","69625"
"27.03.2019 11:15 - 27.03.2019 11:30","68111","70079"
"27.03.2019 11:30 - 27.03.2019 11:45","68350","70298"
"27.03.2019 11:45 - 27.03.2019 12:00","68004","70179"
"27.03.2019 12:00 - 27.03.2019 12:15","67809","69156"
"27.03.2019 12:15 - 27.03.2019 12:30","67860","68393"
"27.03.2019 12:30 - 27.03.2019 12:45","67648","68609"
"27.03.2019 12:45 - 27.03.2019 13:00","67703","68537"
"27.03.2019 13:00 - 27.03.2019 13:15","67454","68358"
"27.03.2019 13:15 - 27.03.2019 13:30","67123","67830"
"27.03.2019 13:30 - 27.03.2019 13:45","66922","67727"
"27.03.2019 13:45 - 27.03.2019 14:00","65952","66793"
"27.03.2019 14:00 - 27.03.2019 14:15","65919","66632"
"27.03.2019 14:15 - 27.03.2019 14:30","65525","66361"
"27.03.2019 14:30 - 27.03.2019 14:45","65379","66478"
"27.03.2019 14:45 - 27.03.2019 15:00","65662","66102"
"27.03.2019 15:00 - 27.03.2019 15:15","65660","66010"
"27.03.2019 15:15 - 27.03.2019 15:30","65110","65481"
"27.03.2019 15:30 - 27.03.2019 15:45","64688","65241"
"27.03.2019 15:45 - 27.03.2019 16:00","63994","64951"
"27.03.2019 16:00 - 27.03.2019 16:15","63934","64624"
"27.03.2019 16:15 - 27.03.2019 16:30","63751","63979"
"27.03.2019 16:30 - 27.03.2019 16:45","63471","63732"
"27.03.2019 16:45 - 27.03.2019 17:00","63204","64036"
"27.03.2019 17:00 - 27.03.2019 17:15","63306","64562"
"27.03.2019 17:15 - 27.03.2019 17:30","63468","64685"
"27.03.2019 17:30 - 27.03.2019 17:45","63961","64893"
"27.03.2019 17:45 - 27.03.2019 18:00","63991","65026"
"27.03.2019 18:00 - 27.03.2019 18:15","63884","65259"
"27.03.2019 18:15 - 27.03.2019 18:30","64185","65384"
"27.03.2019 18:30 - 27.03.2019 18:45","64468","65937"
"27.03.2019 18:45 - 27.03.2019 19:00","64962","67101"
"27.03.2019 19:00 - 27.03.2019 19:15","65433","68253"
"27.03.2019 19:15 - 27.03.2019 19:30","65305","68389"
"27.03.2019 19:30 - 27.03.2019 19:45","65049","67988"
"27.03.2019 19:45 - 27.03.2019 20:00","64770","67445"
"27.03.2019 20:00 - 27.03.2019 20:15","64140","66571"
"27.03.2019 20:15 - 27.03.2019 20:30","62766","65299"
"27.03.2019 20:30 - 27.03.2019 20:45","62026","63991"
"27.03.2019 20:45 - 27.03.2019 21:00","61326","62984"
"27.03.2019 21:00 - 27.03.2019 21:15","60241","62019"
"27.03.2019 21:15 - 27.03.2019 21:30","59473","61188"
"27.03.2019 21:30 - 27.03.2019 21:45","58851","59952"
"27.03.2019 21:45 - 27.03.2019 22:00","58148","59232"
"27.03.2019 22:00 - 27.03.2019 22:15","57894","58981"
"27.03.2019 22:15 - 27.03.2019 22:30","57241","58382"
"27.03.2019 22:30 - 27.03.2019 22:45","56162","57176"
"27.03.2019 22:45 - 27.03.2019 23:00","54920","55974"
"27.03.2019 23:00 - 27.03.2019 23:15","53561","54401"
"27.03.2019 23:15 - 27.03.2019 23:30","52515","53580"
"27.03.2019 23:30 - 27.03.2019 23:45","51681","52732"
"27.03.2019 23:45 - 28.03.2019 00:00","50805","51951"
"28.03.2019 00:00 - 28.03.2019 00:15","49011","50828"
"28.03.2019 00:15 - 28.03.2019 00:30","48232","50087"
"28.03.2019 00:30 - 28.03.2019 00:45","47733","49700"
"28.03.2019 00:45 - 28.03.2019 01:00","47258","49317"
"28.03.2019 01:00 - 28.03.2019 01:15","46631","49037"
"28.03.2019 01:15 - 28.03.2019 01:30","46346","48760"
"28.03.2019 01:30 - 28.03.2019 01:45","46031","48653"
"28.03.2019 01:45 - 28.03.2019 02:00","45755","48368"
"28.03.2019 02:00 - 28.03.2019 02:15","45483","47690"
"28.03.2019 02:15 - 28.03.2019 02:30","45427","47406"
"28.03.2019 02:30 - 28.03.2019 02:45","45469","47426"
"28.03.2019 02:45 - 28.03.2019 03:00","45629","47605"
"28.03.2019 03:00 - 28.03.2019 03:15","45747","47821"
"28.03.2019 03:15 - 28.03.2019 03:30","45896","47976"
"28.03.2019 03:30 - 28.03.2019 03:45","46023","48249"
"28.03.2019 03:45 - 28.03.2019 04:00","46252","48286"
"28.03.2019 04:00 - 28.03.2019 04:15","46694","48630"
"28.03.2019 04:15 - 28.03.2019 04:30","47134","48985"
"28.03.2019 04:30 - 28.03.2019 04:45","47593","49415"
"28.03.2019 04:45 - 28.03.2019 05:00","48223","50073"
"28.03.2019 05:00 - 28.03.2019 05:15","49426","51995"
"28.03.2019 05:15 - 28.03.2019 05:30","50166","52795"
"28.03.2019 05:30 - 28.03.2019 05:45","51209","53699"
"28.03.2019 05:45 - 28.03.2019 06:00","52696","54688"
"28.03.2019 06:00 - 28.03.2019 06:15","55246","56986"
"28.03.2019 06:15 - 28.03.2019 06:30","57131","58916"
"28.03.2019 06:30 - 28.03.2019 06:45","58730","60842"
"28.03.2019 06:45 - 28.03.2019 07:00","59983","61487"
"28.03.2019 07:00 - 28.03.2019 07:15","61368","62632"
"28.03.2019 07:15 - 28.03.2019 07:30","62186","63542"
"28.03.2019 07:30 - 28.03.2019 07:45","63570","64231"
"28.03.2019 07:45 - 28.03.2019 08:00","64152","64850"
"28.03.2019 08:00 - 28.03.2019 08:15","64863","65827"
"28.03.2019 08:15 - 28.03.2019 08:30","65234","66272"
"28.03.2019 08:30 - 28.03.2019 08:45","65418","66563"
"28.03.2019 08:45 - 28.03.2019 09:00","65590","66582"
"28.03.2019 09:00 - 28.03.2019 09:15","65434","66196"
"28.03.2019 09:15 - 28.03.2019 09:30","65499","66585"
"28.03.2019 09:30 - 28.03.2019 09:45","65912","66916"
"28.03.2019 09:45 - 28.03.2019 10:00","66180","67145"
"28.03.2019 10:00 - 28.03.2019 10:15","66496","67226"
"28.03.2019 10:15 - 28.03.2019 10:30","66798","67652"
"28.03.2019 10:30 - 28.03.2019 10:45","66867","67891"
"28.03.2019 10:45 - 28.03.2019 11:00","66997","68248"
"28.03.2019 11:00 - 28.03.2019 11:15","67238","68694"
"28.03.2019 11:15 - 28.03.2019 11:30","67452","69153"
"28.03.2019 11:30 - 28.03.2019 11:45","67647","69471"
"28.03.2019 11:45 - 28.03.2019 12:00","67571","69575"
"28.03.2019 12:00 - 28.03.2019 12:15","67124","69073"
"28.03.2019 12:15 - 28.03.2019 12:30","67164","68770"
"28.03.2019 12:30 - 28.03.2019 12:45","66888","68499"
"28.03.2019 12:45 - 28.03.2019 13:00","67024","68340"
"28.03.2019 13:00 - 28.03.2019 13:15","66829","68293"
"28.03.2019 13:15 - 28.03.2019 13:30","66555","68220"
"28.03.2019 13:30 - 28.03.2019 13:45","66214","67928"
"28.03.2019 13:45 - 28.03.2019 14:00","65321","67303"
"28.03.2019 14:00 - 28.03.2019 14:15","65363","67182"
"28.03.2019 14:15 - 28.03.2019 14:30","65078","66702"
"28.03.2019 14:30 - 28.03.2019 14:45","64984","66370"
"28.03.2019 14:45 - 28.03.2019 15:00","65187","65969"
"28.03.2019 15:00 - 28.03.2019 15:15","64699","65858"
"28.03.2019 15:15 - 28.03.2019 15:30","64198","65456"
"28.03.2019 15:30 - 28.03.2019 15:45","63878","65011"
"28.03.2019 15:45 - 28.03.2019 16:00","63391","64584"
"28.03.2019 16:00 - 28.03.2019 16:15","63359","64337"
"28.03.2019 16:15 - 28.03.2019 16:30","63062","64187"
"28.03.2019 16:30 - 28.03.2019 16:45","62726","63977"
"28.03.2019 16:45 - 28.03.2019 17:00","62880","63750"
"28.03.2019 17:00 - 28.03.2019 17:15","63056","63716"
"28.03.2019 17:15 - 28.03.2019 17:30","63162","63317"
"28.03.2019 17:30 - 28.03.2019 17:45","63662","63641"
"28.03.2019 17:45 - 28.03.2019 18:00","63695","63930"
"28.03.2019 18:00 - 28.03.2019 18:15","63625","64214"
"28.03.2019 18:15 - 28.03.2019 18:30","63826","64169"
"28.03.2019 18:30 - 28.03.2019 18:45","64118","64772"
"28.03.2019 18:45 - 28.03.2019 19:00","64531","65710"
"28.03.2019 19:00 - 28.03.2019 19:15","64971","66378"
"28.03.2019 19:15 - 28.03.2019 19:30","64776","66443"
"28.03.2019 19:30 - 28.03.2019 19:45","64593","66208"
"28.03.2019 19:45 - 28.03.2019 20:00","64277","65593"
"28.03.2019 20:00 - 28.03.2019 20:15","63448","64924"
"28.03.2019 20:15 - 28.03.2019 20:30","62126","63796"
"28.03.2019 20:30 - 28.03.2019 20:45","61517","62573"
"28.03.2019 20:45 - 28.03.2019 21:00","60713","61732"
"28.03.2019 21:00 - 28.03.2019 21:15","59548","61057"
"28.03.2019 21:15 - 28.03.2019 21:30","58787","60613"
"28.03.2019 21:30 - 28.03.2019 21:45","58094","59576"
"28.03.2019 21:45 - 28.03.2019 22:00","57401","58523"
"28.03.2019 22:00 - 28.03.2019 22:15","57292","58181"
"28.03.2019 22:15 - 28.03.2019 22:30","56564","57353"
"28.03.2019 22:30 - 28.03.2019 22:45","55523","56370"
"28.03.2019 22:45 - 28.03.2019 23:00","54174","55105"
"28.03.2019 23:00 - 28.03.2019 23:15","52898","53856"
"28.03.2019 23:15 - 28.03.2019 23:30","51851","52833"
"28.03.2019 23:30 - 28.03.2019 23:45","50918","52061"
"28.03.2019 23:45 - 29.03.2019 00:00","50052","51418"
"29.03.2019 00:00 - 29.03.2019 00:15","48639","49972"
"29.03.2019 00:15 - 29.03.2019 00:30","47855","49046"
"29.03.2019 00:30 - 29.03.2019 00:45","47367","48722"
"29.03.2019 00:45 - 29.03.2019 01:00","46755","48090"
"29.03.2019 01:00 - 29.03.2019 01:15","46255","47520"
"29.03.2019 01:15 - 29.03.2019 01:30","45912","46928"
"29.03.2019 01:30 - 29.03.2019 01:45","45565","46871"
"29.03.2019 01:45 - 29.03.2019 02:00","45395","46489"
"29.03.2019 02:00 - 29.03.2019 02:15","45050","46034"
"29.03.2019 02:15 - 29.03.2019 02:30","45002","45718"
"29.03.2019 02:30 - 29.03.2019 02:45","45037","45923"
"29.03.2019 02:45 - 29.03.2019 03:00","45153","46154"
"29.03.2019 03:00 - 29.03.2019 03:15","45216","46373"
"29.03.2019 03:15 - 29.03.2019 03:30","45380","46416"
"29.03.2019 03:30 - 29.03.2019 03:45","45549","46791"
"29.03.2019 03:45 - 29.03.2019 04:00","45761","47057"
"29.03.2019 04:00 - 29.03.2019 04:15","46272","47752"
"29.03.2019 04:15 - 29.03.2019 04:30","46658","48204"
"29.03.2019 04:30 - 29.03.2019 04:45","47109","48537"
"29.03.2019 04:45 - 29.03.2019 05:00","47731","49290"
"29.03.2019 05:00 - 29.03.2019 05:15","48863","50695"
"29.03.2019 05:15 - 29.03.2019 05:30","49648","51417"
"29.03.2019 05:30 - 29.03.2019 05:45","50697","52511"
"29.03.2019 05:45 - 29.03.2019 06:00","52021","53543"
"29.03.2019 06:00 - 29.03.2019 06:15","54608","56131"
"29.03.2019 06:15 - 29.03.2019 06:30","56412","58034"
"29.03.2019 06:30 - 29.03.2019 06:45","57954","59449"
"29.03.2019 06:45 - 29.03.2019 07:00","59266","60550"
"29.03.2019 07:00 - 29.03.2019 07:15","60456","62125"
"29.03.2019 07:15 - 29.03.2019 07:30","61323","63166"
"29.03.2019 07:30 - 29.03.2019 07:45","62437","64029"
"29.03.2019 07:45 - 29.03.2019 08:00","63256","64687"
"29.03.2019 08:00 - 29.03.2019 08:15","64063","65420"
"29.03.2019 08:15 - 29.03.2019 08:30","64393","65988"
"29.03.2019 08:30 - 29.03.2019 08:45","64482","66167"
